Development,Administration,Marketing,Province,Proceeds
413373,39113.65714,472034.1,Ontario,64087.27667
406494.25,43250.74,444148.53,Alberta,63930.68667
383603.775,28898.72857,408184.54,British Columbia,63683.46333
360931.025,33906.24286,383449.62,Ontario,60967.33
355268.35,26111.93429,366418.42,British Columbia,55395.98
329692.25,28518.48857,363111.36,Ontario,52330.37333
336538.65,42056.82,127966.82,Alberta,52040.83667
325745.325,41580.01714,324126.68,British Columbia,51917.53333
301356.3,42491.12857,311863.29,Ontario,50737.25667
308337.2,31051.19143,305231.62,Alberta,49919.98667
254782.7,31598.31714,229410.95,British Columbia,48707.31667
251679.9,26225.88857,249994.55,Alberta,48086.46667
234659.375,36377.25143,250089.44,British Columbia,47195.17333
229980.975,38712.87714,252914.93,Alberta,44769.11667
299858.1,44727.83429,256762.92,British Columbia,44200.88333
286309.025,35033.38286,262026.23,Ontario,43305.68
195032.775,34742.15714,264596.06,Alberta,42330.97667
236642.9,41450.73714,282824.31,Ontario,41790.12333
229372.9,32621.65429,295169.57,British Columbia,41422.3
216049.25,43861.17429,250,Ontario,40925.62
190634.65,32533.51429,298914.47,Alberta,39491.34333
195973.675,43935.26571,299987.29,Ontario,37104.34
184986.4,35080.78571,303569.26,British Columbia,36784.08333
168831.325,30214.58,305018.73,British Columbia,36244.66333
192610.025,28366.09714,140824.81,Ontario,36184.01333
161661.775,39872.33143,138212.62,Alberta,35801.44667
188322.175,41181.70857,134300.07,British Columbia,35244.51333
180269,36532.72857,353433.81,Ontario,35002.77
165128.8,52184.44571,118398.2,British Columbia,34427.46
164013.7,43723.44571,107388.38,Ontario,33668.21333
154986.2,33040.36571,91381.24,British Columbia,33312.53
152840.95,43629.12,88468.23,Ontario,32494.52
158522.15,36919.88857,46335.25,Alberta,32475.94667
138734.875,29444.99714,214884.81,British Columbia,32259.64
116065.175,45055.40571,211047.67,Alberta,32237.6
115035.05,24299.26857,205767.64,Ontario,32159.83667
71659.4,36301.77429,201376.82,British Columbia,30236.06333
110174.875,14652.32571,197279.42,Alberta,29983.04667
50573.975,18842.26571,185515.1,Ontario,27076.35333
96396.275,23709.16857,175249.3,Alberta,27001.92
71885.825,33870.3,173045.67,Alberta,26079.97
69732.3,24203.07714,164720.71,British Columbia,25932.94333
59102.325,27482.75143,148251.11,Alberta,23832.83
38764.325,36394.94286,35784.17,Ontario,23252.99333
55444.35,44230.32571,28584.72,Alberta,21733.44333
2500.575,35472.29714,2153.93,Ontario,21642.02667
3288.65,33090.34571,297364.46,British Columbia,16496.91667
10,38693.40571,250,Alberta,14186.57667
1355.125,14783.75714,250,Ontario,11891.13667
70,33423.94286,45423.06,Alberta,4893.8
